snippet_id,catch_type,phase,angle_bias,expect_level,true_shape,resp_shape,conf_level,accuracy,rt_choice,agency_rating,prop_used,participant,session,low_precision_colour,high_precision_colour,
0,,practice,90,low,dot,dot,3,1,2.009433250001166,nan,0.5,1996,001,green,blue,
0,,practice,0,low,square,dot,4,0,3.4229530000011437,nan,0.5,1996,001,green,blue,
0,,practice,0,low,dot,square,1,0,1.8015185829717666,nan,0.575,1996,001,green,blue,
0,,practice,90,high,dot,dot,3,1,2.055261583009269,nan,0.8,1996,001,green,blue,
0,,practice,0,high,square,square,1,1,1.9925224169855937,nan,0.8,1996,001,green,blue,
0,,practice,0,high,square,square,2,1,15.200252082955558,nan,0.75,1996,001,green,blue,
0,,practice,0,high,dot,square,2,0,1.565052707970608,nan,0.7,1996,001,green,blue,
0,,practice,90,high,dot,dot,4,1,2.169198624964338,nan,0.75,1996,001,green,blue,
0,,practice,90,low,dot,dot,3,1,2.245623374998104,nan,0.45,1996,001,green,blue,
0,,practice,90,high,square,dot,3,0,1.2638464159681462,nan,0.7,1996,001,green,blue,
0,,practice,0,low,dot,square,2,0,2.1324701249832287,nan,0.6499999999999999,1996,001,green,blue,
0,,practice,90,low,square,dot,4,0,3.53259304194944,nan,0.4,1996,001,green,blue,
0,,test,90,low,square,dot,4,0,1.682210125029087,83.0,0.6875,1996,001,green,blue,
0,,test,90,low,dot,square,2,0,1.339390417037066,15.0,0.6875,1996,001,green,blue,
0,,test,0,low,dot,dot,4,1,1.8109196670120582,88.0,0.8125,1996,001,green,blue,
0,,test,0,low,square,square,1,1,1.8447263750131242,99.0,0.8125,1996,001,green,blue,
0,,test,90,high,dot,dot,3,1,10.79308991599828,94.0,0.6875,1996,001,green,blue,
0,,test,0,high,dot,dot,3,1,2.4965317089809105,51.0,0.8125,1996,001,green,blue,
0,,test,0,high,dot,dot,3,1,0.8043501250213012,91.0,0.8125,1996,001,green,blue,
0,,test,90,high,dot,dot,3,1,0.7801972500164993,88.0,0.6875,1996,001,green,blue,
