snippet_id,catch_type,phase,angle_bias,expect_level,true_shape,resp_shape,conf_level,accuracy,rt_choice,agency_rating,prop_used,participant,session,low_precision_colour,high_precision_colour,
4,,practice,0,low,square,square,1,1,1.10580229194602,nan,0.5,12,001,blue,green,
5,,practice,90,low,dot,square,2,0,0.7655266250367276,nan,0.5,12,001,blue,green,
1,,practice,90,high,square,square,2,1,0.4631318749743514,nan,0.8,12,001,blue,green,
3,,practice,0,high,dot,square,1,0,0.5443176670232788,nan,0.8,12,001,blue,green,
6,,practice,0,high,square,square,2,1,0.5568225409951992,nan,1,12,001,blue,green,
7,,practice,90,high,square,square,2,1,0.5365378750138916,nan,0.75,12,001,blue,green,
2,,practice,0,high,dot,square,2,0,0.6205237910035066,nan,0.95,12,001,blue,green,
0,,practice,90,low,square,square,2,1,0.5213273750268854,nan,0.575,12,001,blue,green,
3,,practice,0,low,dot,square,2,0,0.5428389579756185,nan,0.45,12,001,blue,green,
5,,practice,90,low,square,square,2,1,0.4763704579672776,nan,0.5249999999999999,12,001,blue,green,
4,,practice,90,high,square,square,2,1,0.5111794170225039,nan,0.7,12,001,blue,green,
2,,practice,0,low,square,square,2,1,0.29988987499382347,nan,0.525,12,001,blue,green,
1,,test,0,high,dot,square,2,0,0.2765821670182049,83.0,0.7375,12,001,blue,green,
0,,test,0,low,dot,dot,3,1,1.8495760840014555,94.0,0.7375,12,001,blue,green,
6,,test,0,high,square,square,1,1,1.0132317910320126,85.0,0.7375,12,001,blue,green,
8,,test,0,low,dot,square,2,0,0.495257375005167,87.0,0.7375,12,001,blue,green,
7,,test,90,high,square,square,2,1,0.523840542009566,88.0,0.5624999999999999,12,001,blue,green,
2,,test,90,high,dot,square,2,0,0.4952874580048956,86.0,0.5624999999999999,12,001,blue,green,
3,,test,90,low,dot,square,1,0,1.1687324169906788,90.0,0.5624999999999999,12,001,blue,green,
