snippet_id,catch_type,phase,angle_bias,expect_level,true_shape,resp_shape,conf_level,accuracy,rt_choice,agency_rating,prop_used,participant,session,low_precision_colour,high_precision_colour,
8,,practice,0,high,dot,square,1,0,1.354043625004124,nan,0.8,234234,001,green,blue,
6,,practice,90,low,square,dot,3,0,1.336276915972121,nan,0.5,234234,001,green,blue,
5,,practice,90,high,dot,dot,3,1,1.2844420410110615,nan,0.8,234234,001,green,blue,
3,,practice,90,high,dot,dot,3,1,0.838241207995452,nan,0.75,234234,001,green,blue,
1,,practice,0,low,square,dot,3,0,0.824883499997668,nan,0.5,234234,001,green,blue,
7,,practice,90,low,square,dot,3,0,0.7474860830116086,nan,0.575,234234,001,green,blue,
0,,practice,90,high,dot,dot,3,1,1.9084363340516575,nan,0.7,234234,001,green,blue,
4,,practice,0,high,dot,square,1,0,1.8688754169852473,nan,1,234234,001,green,blue,
5,,practice,0,low,square,square,2,1,0.7008454159949906,nan,0.575,234234,001,green,blue,
3,,practice,0,high,dot,square,2,0,0.5777815830078907,nan,1,234234,001,green,blue,
4,,practice,0,low,dot,square,2,0,1.2715246670413762,nan,0.5249999999999999,234234,001,green,blue,
6,,practice,90,low,square,square,2,1,0.5601809159852564,nan,0.6499999999999999,234234,001,green,blue,
2,,test,0,low,dot,square,2,0,0.7904507499770261,86.0,0.7999999999999999,234234,001,green,blue,
