snippet_id,catch_type,phase,angle_bias,expect_level,true_shape,resp_shape,conf_level,accuracy,rt_choice,agency_rating,prop_used,participant,session,low_precision_colour,high_precision_colour,
0,,practice,0,high,square,dot,3,0,0.0020539159886538982,nan,0.8,SIM,001,green,blue,
0,,practice,0,high,square,square,2,1,4.9332971684634686e-05,nan,1,SIM,001,green,blue,
0,,practice,90,high,dot,square,2,0,4.8290996346622705e-05,nan,0.8,SIM,001,green,blue,
0,,practice,0,low,dot,dot,4,1,6.533297710120678e-05,nan,0.5,SIM,001,green,blue,
0,,practice,90,low,dot,square,2,0,4.9875001423060894e-05,nan,0.5,SIM,001,green,blue,
0,,practice,0,high,dot,dot,3,1,4.999997327104211e-05,nan,0.95,SIM,001,green,blue,
0,,practice,90,low,square,dot,4,0,0.00011454202467575669,nan,0.575,SIM,001,green,blue,
0,,practice,90,high,dot,dot,3,1,0.00010908296098932624,nan,1,SIM,001,green,blue,
0,,practice,90,high,square,dot,3,0,0.00011320796329528093,nan,0.95,SIM,001,green,blue,
0,,practice,0,low,square,square,2,1,7.112498860806227e-05,nan,0.45,SIM,001,green,blue,
0,,practice,0,low,square,square,1,1,0.00024429202312603593,nan,0.4,SIM,001,green,blue,
0,,practice,90,low,square,dot,4,0,5.83329820074141e-05,nan,0.6499999999999999,SIM,001,green,blue,
0,,test,0,low,square,square,2,1,5.1042006816715e-05,17.0,0.625,SIM,001,green,blue,
0,,test,90,high,dot,dot,3,1,5.7917030062526464e-05,97.0,0.8624999999999999,SIM,001,green,blue,
0,,test,90,high,square,square,1,1,6.508297519758344e-05,98.0,0.8624999999999999,SIM,001,green,blue,
0,,test,90,low,dot,square,1,0,5.312502617016435e-05,53.0,0.8624999999999999,SIM,001,green,blue,
0,,test,90,high,square,dot,4,0,5.1875016652047634e-05,99.0,0.8624999999999999,SIM,001,green,blue,
0,,test,0,high,square,square,2,1,4.7666020691394806e-05,30.0,0.625,SIM,001,green,blue,
0,,test,90,high,dot,dot,3,1,5.3540978115051985e-05,57.0,0.8624999999999999,SIM,001,green,blue,
0,,test,90,high,square,square,1,1,4.875002196058631e-05,52.0,0.8624999999999999,SIM,001,green,blue,
0,,test,90,low,square,dot,4,0,5.00410096719861e-05,87.0,0.8624999999999999,SIM,001,green,blue,
0,,test,90,high,dot,square,1,0,5.050003528594971e-05,46.0,0.8624999999999999,SIM,001,green,blue,
0,,test,90,low,square,square,1,1,5.029095336794853e-05,27.0,0.8624999999999999,SIM,001,green,blue,
0,,test,90,low,square,square,2,1,5.1458016969263554e-05,30.0,0.8624999999999999,SIM,001,green,blue,
0,,test,90,high,square,dot,4,0,5.124998278915882e-05,1.0,0.8624999999999999,SIM,001,green,blue,
0,,test,0,low,square,dot,3,0,5.1292008720338345e-05,71.0,0.625,SIM,001,green,blue,
0,,test,90,high,square,dot,3,0,5.5750017054378986e-05,85.0,0.8624999999999999,SIM,001,green,blue,
0,,test,90,high,square,dot,3,0,5.154102109372616e-05,47.0,0.8624999999999999,SIM,001,green,blue,
0,,test,90,low,square,dot,4,0,4.8874993808567524e-05,7.0,0.8624999999999999,SIM,001,green,blue,
0,,test,90,high,square,square,1,1,5.2667048294097185e-05,1.0,0.8624999999999999,SIM,001,green,blue,
0,,test,0,low,square,square,1,1,4.779204027727246e-05,40.0,0.625,SIM,001,green,blue,
0,,test,0,high,dot,square,2,0,4.862499190494418e-05,0.0,0.625,SIM,001,green,blue,
0,,test,90,low,dot,dot,4,1,5.066697485744953e-05,14.0,0.8624999999999999,SIM,001,green,blue,
0,,test,90,high,square,square,2,1,5.162501474842429e-05,45.0,0.8624999999999999,SIM,001,green,blue,
0,,test,90,low,dot,square,1,0,5.0665985327214e-05,24.0,0.8624999999999999,SIM,001,green,blue,
0,,test,0,high,dot,dot,4,1,4.895904567092657e-05,81.0,0.625,SIM,001,green,blue,
0,,test,90,low,dot,dot,4,1,5.1875016652047634e-05,3.0,0.8624999999999999,SIM,001,green,blue,
0,,test,0,low,square,dot,4,0,5.179201252758503e-05,71.0,0.625,SIM,001,green,blue,
